epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6312,2.8626,5.14133,3.02096,2.00121,0,0.05833,0.25926,0.07329,0.03301,0.04833,0.21481,0.05571,0.01487,2.4666,3.85643,2.46596,1.45608,0,2e-05,2e-05,2e-05
2,87.1217,2.23416,3.91942,2.64423,1.47535,0,0.24066,0.35556,0.16557,0.06429,0.16502,0.25185,0.09022,0.02999,2.27423,3.12022,2.31822,1.14072,0,5.9406e-05,5.9406e-05,5.9406e-05
3,130.899,1.84257,3.13712,2.05384,1.26384,0,0.31484,0.39259,0.24884,0.10204,0.22678,0.3037,0.16277,0.05355,2.13535,2.57044,5.87849,1.20079,0,9.802e-05,9.802e-05,9.802e-05
4,175.6,1.95864,3.25992,1.71293,1.19605,0,0.26824,0.35556,0.18661,0.07433,0.22058,0.26667,0.13846,0.03842,2.41792,2.89618,2.09514,1.4888,0,0.000135842,0.000135842,0.000135842
5,218.169,1.8285,2.80357,1.93091,1.14361,0,0.26546,0.48889,0.2117,0.08148,0.24427,0.42963,0.18586,0.04842,2.44424,2.90676,5.19702,1.44367,0,0.000172872,0.000172872,0.000172872
6,261.966,1.99982,3.58443,1.64798,1.11527,0,0.24296,0.54074,0.22095,0.08227,0.05657,0.12593,0.02707,0.01163,2.6722,5.54437,10.9201,1.53537,0,0.00020911,0.00020911,0.00020911
7,305.658,1.99982,3.46274,1.99781,1.13326,0,0.31211,0.42222,0.2342,0.09317,0.1735,0.34815,0.12104,0.03565,2.72788,3.77345,2.91034,1.62684,0,0.000244556,0.000244556,0.000244556
8,347.468,1.97106,2.90161,2.21212,1.23027,0,0.09,0.4,0.0682,0.02748,0.075,0.33333,0.05107,0.01902,2.37198,3.90414,2.94401,1.42815,0,0.00027921,0.00027921,0.00027921
9,389.007,1.76707,2.78249,2.51573,1.23367,0,0.04167,0.18519,0.03531,0.0163,0.04419,0.07407,0.0226,0.00655,3.04515,15.7682,3.2021,1.92074,0,0.000313072,0.000313072,0.000313072
10,432.078,1.78961,2.67006,2.21006,1.18541,0,0.00443,0.01481,0.00174,0.00043,0,0,0,0,4.71483,46.3288,4.73189,4.49121,0,0.000346142,0.000346142,0.000346142
11,474.645,1.88935,3.08914,1.72461,1.22511,0,0,0,0,0,0,0,0,0,4.61846,9059.44,408.021,38.232,0,0.00037842,0.00037842,0.00037842
12,517.3,1.70445,2.90869,1.33726,1.12641,0,0,0,0,0,0,0,0,0,4.61846,9059.44,408.021,38.232,0,0.000409906,0.000409906,0.000409906
13,559.689,1.77105,2.64496,1.44103,1.1868,0,0.00333,0.00741,0.00088,0.00026,0,0,0,0,4.55668,1565.62,843.773,48.3355,0,0.0004406,0.0004406,0.0004406
14,601.847,1.98482,2.80266,2.10008,1.33966,0,0,0,0,0,0,0,0,0,4.6631,595.148,1233.92,28.0384,0,0.000470502,0.000470502,0.000470502
15,644.19,1.76778,2.34138,2.30646,1.2151,0,0,0,0,0,0,0,0,0,4.6631,595.148,1233.92,28.0384,0,0.000499612,0.000499612,0.000499612
16,686.385,1.71451,2.64588,1.98654,1.16194,0,0,0,0,0,0,0,0,0,5.20178,7198.29,7117.95,125.574,0,0.00052793,0.00052793,0.00052793
17,727.799,1.7854,2.47095,2.26162,1.38878,0,0,0,0,0,0,0,0,0,5.60096,411194,21454.6,1383.51,0,0.000555456,0.000555456,0.000555456
18,769.688,1.83541,2.83274,1.64663,1.33578,0,0,0,0,0,0,0,0,0,5.60096,411194,21454.6,1383.51,0,0.00058219,0.00058219,0.00058219
19,811.716,1.99047,3.07797,1.62445,1.31395,0,0,0,0,0,0,0,0,0,4.40041,5529.23,42228.8,1937.85,0,0.000608132,0.000608132,0.000608132
20,853.4,2.01656,3.11387,2.33678,1.30466,0,0,0,0,0,0,0,0,0,4.40041,5529.23,42228.8,1937.85,0,0.000633282,0.000633282,0.000633282
21,896.017,2.07906,3.20353,2.47849,1.33062,0,0,0,0,0,0,0,0,0,3.53629,2536.61,11151.7,15.5886,0,0.00065764,0.00065764,0.00065764
22,939.122,2.11458,2.86184,1.75289,1.25142,0,0,0,0,0,0,0,0,0,3.53629,2536.61,11151.7,15.5886,0,0.000681206,0.000681206,0.000681206
23,982.665,2.07593,2.73377,1.63949,1.18494,0,0,0,0,0,0,0,0,0,2.40954,1.33213e+06,140600,2259.37,0,0.00070398,0.00070398,0.00070398
24,1023.9,1.96645,2.82067,2.0729,1.357,0,0,0,0,0,0,0,0,0,2.40954,1.33213e+06,140600,2259.37,0,0.000725962,0.000725962,0.000725962
25,1067.3,1.93163,2.55609,1.47518,1.21729,0,0.32036,0.24442,0.20864,0.07473,0.2261,0.17778,0.11579,0.03543,2.52133,97.6176,2.13553,1.67758,0,0.000747152,0.000747152,0.000747152
26,1109.98,1.9555,2.44018,1.45387,1.25771,0,0.32036,0.24442,0.20864,0.07473,0.2261,0.17778,0.11579,0.03543,2.52133,97.6176,2.13553,1.67758,0,0.00076755,0.00076755,0.00076755
27,1151.1,1.98256,2.59332,1.53903,1.2574,0,0.32036,0.24442,0.20864,0.07473,0.2261,0.17778,0.11579,0.03543,2.52133,97.6176,2.13553,1.67758,0,0.000787156,0.000787156,0.000787156
28,1192.5,1.99447,2.48841,1.59944,1.23245,0,0.01485,0.02222,0.00762,0.00404,0.0065,0.00741,0.0025,0.0015,4.55316,289.956,576.034,745.39,0,0.00080597,0.00080597,0.00080597
29,1233.09,2.08149,2.67215,1.96903,1.34908,0,0.01485,0.02222,0.00762,0.00404,0.0065,0.00741,0.0025,0.0015,4.55316,289.956,576.034,745.39,0,0.000823992,0.000823992,0.000823992
30,1274.69,2.11185,2.52449,1.85979,1.29957,0,0.02333,0.1037,0.01296,0.00643,0.025,0.11111,0.01398,0.00502,3.22107,11.3972,122.269,2.92484,0,0.000841222,0.000841222,0.000841222
31,1316.19,2.08,2.65735,1.50991,1.238,0,0.02333,0.1037,0.01296,0.00643,0.025,0.11111,0.01398,0.00502,3.22107,11.3972,122.269,2.92484,0,0.00085766,0.00085766,0.00085766
32,1358.01,1.94941,2.64058,1.4561,1.20807,0,0.02333,0.1037,0.01296,0.00643,0.025,0.11111,0.01398,0.00502,3.22107,11.3972,122.269,2.92484,0,0.000873306,0.000873306,0.000873306
33,1399.67,1.919,2.61669,1.38324,1.18371,0,0.00597,0.02222,0.00259,0.00034,0,0,0,0,4.80306,199.019,129.015,14.2852,0,0.00088816,0.00088816,0.00088816
34,1440.93,1.97337,2.74124,1.35087,1.14445,0,0.00597,0.02222,0.00259,0.00034,0,0,0,0,4.80306,199.019,129.015,14.2852,0,0.000902222,0.000902222,0.000902222
35,1482.96,2.16254,2.69229,1.40191,1.19844,0,0.00597,0.02222,0.00259,0.00034,0,0,0,0,4.80306,199.019,129.015,14.2852,0,0.000915492,0.000915492,0.000915492
36,1524.51,1.91902,2.53986,1.53361,1.24606,0,0.00167,0.00741,0.00084,0.00025,0,0,0,0,4.69178,252.254,1303.9,30.3009,0,0.00092797,0.00092797,0.00092797
37,1565.31,1.86082,2.44065,1.46799,1.20188,0,0.00167,0.00741,0.00084,0.00025,0,0,0,0,4.69178,252.254,1303.9,30.3009,0,0.000939656,0.000939656,0.000939656
38,1606.2,1.82912,2.30366,1.36646,1.21356,0,0.00167,0.00741,0.00084,0.00025,0,0,0,0,4.69178,252.254,1303.9,30.3009,0,0.00095055,0.00095055,0.00095055
39,1649.1,1.94786,2.33147,1.22644,1.12653,0,0,0,0,0,0,0,0,0,5.6224,1234.82,2522.96,44.9498,0,0.000960652,0.000960652,0.000960652
40,1691.34,1.79719,2.39636,1.31442,1.13695,0,0,0,0,0,0,0,0,0,5.6224,1234.82,2522.96,44.9498,0,0.000969962,0.000969962,0.000969962
41,1730.7,1.75604,2.27767,1.89172,1.25685,0,0,0,0,0,0,0,0,0,5.6224,1234.82,2522.96,44.9498,0,0.00097848,0.00097848,0.00097848
42,1772.07,1.98558,2.7509,1.33376,1.19133,0,0.07167,0.31852,0.04775,0.02221,0.06,0.26667,0.03835,0.01228,2.43435,3.94357,32.9494,1.60409,0,0.000986206,0.000986206,0.000986206
43,1812.49,1.73051,2.37421,1.41351,1.19198,0,0.07167,0.31852,0.04775,0.02221,0.06,0.26667,0.03835,0.01228,2.43435,3.94357,32.9494,1.60409,0,0.00099314,0.00099314,0.00099314
44,1853.96,1.67268,2.3928,1.32715,1.13328,0,0.07167,0.31852,0.04775,0.02221,0.06,0.26667,0.03835,0.01228,2.43435,3.94357,32.9494,1.60409,0,0.000999282,0.000999282,0.000999282
45,1894.55,1.63551,2.50322,1.5628,1.21403,0,0.07167,0.31852,0.04775,0.02221,0.06,0.26667,0.03835,0.01228,2.43435,3.94357,32.9494,1.60409,0,0.00100463,0.00100463,0.00100463
46,1935.67,1.7625,2.22372,1.31155,1.20098,0,0.14229,0.48148,0.10375,0.04386,0.12742,0.44444,0.09053,0.03007,2.30324,3.84551,10.2655,1.5624,0,0.00100919,0.00100919,0.00100919
47,1976.65,1.86589,2.54556,1.64451,1.20692,0,0.14229,0.48148,0.10375,0.04386,0.12742,0.44444,0.09053,0.03007,2.30324,3.84551,10.2655,1.5624,0,0.00101296,0.00101296,0.00101296
48,2018.28,1.95724,2.43136,1.35011,1.18189,0,0.14229,0.48148,0.10375,0.04386,0.12742,0.44444,0.09053,0.03007,2.30324,3.84551,10.2655,1.5624,0,0.00101593,0.00101593,0.00101593
49,2060.49,1.89003,2.24539,1.25395,1.19178,0,0.14229,0.48148,0.10375,0.04386,0.12742,0.44444,0.09053,0.03007,2.30324,3.84551,10.2655,1.5624,0,0.00101811,0.00101811,0.00101811
50,2100.6,1.916,2.66191,1.46262,1.21699,0,0.14952,0.54815,0.11708,0.05403,0.12128,0.44444,0.08591,0.02021,2.12715,3.58635,7.9982,1.35743,0,0.0010195,0.0010195,0.0010195
51,2142.49,1.989,2.60098,1.28838,1.16856,0,0.14952,0.54815,0.11708,0.05403,0.12128,0.44444,0.08591,0.02021,2.12715,3.58635,7.9982,1.35743,0,0.00101,0.00101,0.00101
52,2183.29,1.73937,2.59777,1.22289,1.16241,0,0.14952,0.54815,0.11708,0.05403,0.12128,0.44444,0.08591,0.02021,2.12715,3.58635,7.9982,1.35743,0,0.0009902,0.0009902,0.0009902
53,2223.68,1.68826,2.44642,1.19373,1.1363,0,0.14952,0.54815,0.11708,0.05403,0.12128,0.44444,0.08591,0.02021,2.12715,3.58635,7.9982,1.35743,0,0.0009704,0.0009704,0.0009704
54,2265.59,1.58963,2.32903,1.17607,1.09709,0,0.17213,0.52058,0.13292,0.05793,0.15262,0.46667,0.11566,0.03345,2.02758,2.42781,7.44808,1.44176,0,0.0009506,0.0009506,0.0009506
55,2307.65,1.7003,2.44974,1.13972,1.08511,0,0.17213,0.52058,0.13292,0.05793,0.15262,0.46667,0.11566,0.03345,2.02758,2.42781,7.44808,1.44176,0,0.0009308,0.0009308,0.0009308
56,2348.77,1.71188,2.2911,1.23903,1.12827,0,0.17213,0.52058,0.13292,0.05793,0.15262,0.46667,0.11566,0.03345,2.02758,2.42781,7.44808,1.44176,0,0.000911,0.000911,0.000911
57,2390.06,1.62187,2.29564,1.43247,1.14569,0,0.17213,0.52058,0.13292,0.05793,0.15262,0.46667,0.11566,0.03345,2.02758,2.42781,7.44808,1.44176,0,0.0008912,0.0008912,0.0008912
58,2432.04,1.65479,2.25064,1.38998,1.13661,0,0.01014,0.04444,0.00524,0.00242,0.00676,0.02963,0.00344,0.00128,3.3985,3.77627,42.5659,1.90002,0,0.0008714,0.0008714,0.0008714
59,2474.02,1.63614,2.35863,1.1978,1.09719,0,0.01014,0.04444,0.00524,0.00242,0.00676,0.02963,0.00344,0.00128,3.3985,3.77627,42.5659,1.90002,0,0.0008516,0.0008516,0.0008516
60,2515.29,1.58978,2.25648,1.1832,1.08879,0,0.01014,0.04444,0.00524,0.00242,0.00676,0.02963,0.00344,0.00128,3.3985,3.77627,42.5659,1.90002,0,0.0008318,0.0008318,0.0008318
61,2556.52,1.54371,2.29822,1.69993,1.23742,0,0.01014,0.04444,0.00524,0.00242,0.00676,0.02963,0.00344,0.00128,3.3985,3.77627,42.5659,1.90002,0,0.000812,0.000812,0.000812
62,2597.66,1.54564,2.17865,1.23651,1.08041,0,0.13,0.57778,0.10534,0.049,0.10667,0.47407,0.07974,0.0289,2.06531,2.3836,8.34933,1.36369,0,0.0007922,0.0007922,0.0007922
63,2638.96,1.45293,2.03169,1.23162,1.0635,0,0.13,0.57778,0.10534,0.049,0.10667,0.47407,0.07974,0.0289,2.06531,2.3836,8.34933,1.36369,0,0.0007724,0.0007724,0.0007724
64,2681.14,1.7032,2.46754,1.12309,1.0849,0,0.13,0.57778,0.10534,0.049,0.10667,0.47407,0.07974,0.0289,2.06531,2.3836,8.34933,1.36369,0,0.0007526,0.0007526,0.0007526
65,2722.78,1.5497,2.19881,1.14546,1.0882,0,0.13,0.57778,0.10534,0.049,0.10667,0.47407,0.07974,0.0289,2.06531,2.3836,8.34933,1.36369,0,0.0007328,0.0007328,0.0007328
66,2764.28,1.5316,2.34948,1.0783,1.08584,0,0.14397,0.39259,0.10347,0.04913,0.14434,0.24444,0.09059,0.03269,1.97398,2.37031,2.78748,1.28386,0,0.000713,0.000713,0.000713
67,2805.33,1.44485,2.09984,1.06224,1.02546,0,0.14397,0.39259,0.10347,0.04913,0.14434,0.24444,0.09059,0.03269,1.97398,2.37031,2.78748,1.28386,0,0.0006932,0.0006932,0.0006932
68,2846.97,1.52861,2.06468,1.05907,1.03043,0,0.14397,0.39259,0.10347,0.04913,0.14434,0.24444,0.09059,0.03269,1.97398,2.37031,2.78748,1.28386,0,0.0006734,0.0006734,0.0006734
69,2890.72,1.53948,2.03315,1.01008,1.04261,0,0.14397,0.39259,0.10347,0.04913,0.14434,0.24444,0.09059,0.03269,1.97398,2.37031,2.78748,1.28386,0,0.0006536,0.0006536,0.0006536
70,2931.88,1.42066,2.01518,1.14302,1.1139,0,0.27644,0.4,0.22288,0.09768,0.20082,0.34815,0.1574,0.04991,2.01494,2.24508,1.85538,1.28003,0,0.0006338,0.0006338,0.0006338
71,2974.31,1.50829,2.04575,1.01017,1.03562,0,0.27644,0.4,0.22288,0.09768,0.20082,0.34815,0.1574,0.04991,2.01494,2.24508,1.85538,1.28003,0,0.000614,0.000614,0.000614
72,3017.02,1.5146,2.02833,0.90671,1.04826,0,0.27644,0.4,0.22288,0.09768,0.20082,0.34815,0.1574,0.04991,2.01494,2.24508,1.85538,1.28003,0,0.0005942,0.0005942,0.0005942
73,3058.03,1.6192,2.22915,1.29285,1.136,0,0.27644,0.4,0.22288,0.09768,0.20082,0.34815,0.1574,0.04991,2.01494,2.24508,1.85538,1.28003,0,0.0005744,0.0005744,0.0005744
74,3100.82,1.47499,2.11383,1.00766,1.07145,0,0.20779,0.27407,0.15696,0.07489,0.19987,0.23316,0.13605,0.03976,2.06688,2.25758,1.89853,1.50241,0,0.0005546,0.0005546,0.0005546
75,3143.76,1.49691,2.01871,0.99281,1.03605,0,0.20779,0.27407,0.15696,0.07489,0.19987,0.23316,0.13605,0.03976,2.06688,2.25758,1.89853,1.50241,0,0.0005348,0.0005348,0.0005348
76,3186.85,1.57845,2.16641,1.03864,1.05572,0,0.20779,0.27407,0.15696,0.07489,0.19987,0.23316,0.13605,0.03976,2.06688,2.25758,1.89853,1.50241,0,0.000515,0.000515,0.000515
77,3228.54,1.37881,1.88736,1.1648,1.07831,0,0.20779,0.27407,0.15696,0.07489,0.19987,0.23316,0.13605,0.03976,2.06688,2.25758,1.89853,1.50241,0,0.0004952,0.0004952,0.0004952
78,3270.8,1.36158,1.95646,0.99706,1.03583,0,0.45418,0.5037,0.41043,0.22949,0.40742,0.45185,0.34477,0.1081,1.67664,1.95038,1.18502,1.14642,0,0.0004754,0.0004754,0.0004754
79,3313.83,1.46363,2.13339,1.06251,1.04942,0,0.45418,0.5037,0.41043,0.22949,0.40742,0.45185,0.34477,0.1081,1.67664,1.95038,1.18502,1.14642,0,0.0004556,0.0004556,0.0004556
80,3358.13,1.38248,1.90815,0.94645,0.99542,0,0.45418,0.5037,0.41043,0.22949,0.40742,0.45185,0.34477,0.1081,1.67664,1.95038,1.18502,1.14642,0,0.0004358,0.0004358,0.0004358
81,3401.62,1.32195,2.04241,1.14494,1.04555,0,0.45418,0.5037,0.41043,0.22949,0.40742,0.45185,0.34477,0.1081,1.67664,1.95038,1.18502,1.14642,0,0.000416,0.000416,0.000416
82,3444.74,1.40171,1.955,1.05751,1.01222,0,0.50006,0.59259,0.45697,0.24795,0.48446,0.45185,0.35187,0.11928,1.59519,1.92859,1.14096,1.07343,0,0.0003962,0.0003962,0.0003962
83,3488.4,1.47788,2.11826,0.97455,0.99409,0,0.50006,0.59259,0.45697,0.24795,0.48446,0.45185,0.35187,0.11928,1.59519,1.92859,1.14096,1.07343,0,0.0003764,0.0003764,0.0003764
84,3532.13,1.4706,2.07114,1.15314,1.07797,0,0.50006,0.59259,0.45697,0.24795,0.48446,0.45185,0.35187,0.11928,1.59519,1.92859,1.14096,1.07343,0,0.0003566,0.0003566,0.0003566
85,3574.97,1.42975,1.99822,0.92155,1.00498,0,0.50006,0.59259,0.45697,0.24795,0.48446,0.45185,0.35187,0.11928,1.59519,1.92859,1.14096,1.07343,0,0.0003368,0.0003368,0.0003368
86,3619.99,1.2956,1.75242,0.91317,0.99793,0,0.54619,0.56296,0.49893,0.29026,0.52271,0.42222,0.40447,0.13601,1.5694,1.83111,1.03229,1.06449,0,0.000317,0.000317,0.000317
87,3664.59,1.37767,2.03847,1.18768,1.031,0,0.54619,0.56296,0.49893,0.29026,0.52271,0.42222,0.40447,0.13601,1.5694,1.83111,1.03229,1.06449,0,0.0002972,0.0002972,0.0002972
88,3707.93,1.29919,1.7287,0.9885,1.02285,0,0.54619,0.56296,0.49893,0.29026,0.52271,0.42222,0.40447,0.13601,1.5694,1.83111,1.03229,1.06449,0,0.0002774,0.0002774,0.0002774
89,3750.75,1.46903,2.10012,1.0917,1.05955,0,0.54619,0.56296,0.49893,0.29026,0.52271,0.42222,0.40447,0.13601,1.5694,1.83111,1.03229,1.06449,0,0.0002576,0.0002576,0.0002576
90,3795.21,1.31523,1.96129,0.88715,0.98793,0,0.60438,0.54319,0.51622,0.30139,0.55022,0.47407,0.47626,0.14932,1.5862,1.84087,1.00884,1.08172,0,0.0002378,0.0002378,0.0002378
91,3836.33,1.39605,1.85093,2.76008,1.32348,0,0.60438,0.54319,0.51622,0.30139,0.55022,0.47407,0.47626,0.14932,1.5862,1.84087,1.00884,1.08172,0,0.000218,0.000218,0.000218
92,3879.37,1.47572,1.97017,1.03245,0.98698,0,0.60438,0.54319,0.51622,0.30139,0.55022,0.47407,0.47626,0.14932,1.5862,1.84087,1.00884,1.08172,0,0.0001982,0.0001982,0.0001982
93,3920.18,1.18038,1.73296,0.91904,0.99981,0,0.60438,0.54319,0.51622,0.30139,0.55022,0.47407,0.47626,0.14932,1.5862,1.84087,1.00884,1.08172,0,0.0001784,0.0001784,0.0001784
94,3961.54,1.18571,1.67136,0.90304,0.97539,0,0.61769,0.54074,0.52283,0.29725,0.67063,0.42963,0.48084,0.14724,1.54998,1.86974,1.00845,1.06243,0,0.0001586,0.0001586,0.0001586
95,4000.67,1.31985,2.3907,2.2954,1.18609,0,0.61769,0.54074,0.52283,0.29725,0.67063,0.42963,0.48084,0.14724,1.54998,1.86974,1.00845,1.06243,0,0.0001388,0.0001388,0.0001388
96,4040.15,1.34775,1.94201,1.07263,1.01622,0,0.61769,0.54074,0.52283,0.29725,0.67063,0.42963,0.48084,0.14724,1.54998,1.86974,1.00845,1.06243,0,0.000119,0.000119,0.000119
97,4079.38,1.23226,1.90174,0.89926,0.95852,0,0.61769,0.54074,0.52283,0.29725,0.67063,0.42963,0.48084,0.14724,1.54998,1.86974,1.00845,1.06243,0,9.92e-05,9.92e-05,9.92e-05
